,date,states,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
24,20200328,56,124884,622779.0,65709.0,12179.0,13749.0,2174.0,140.0,390.0,,3148.0,397070723061504b8ce6380b2a6e6b708f238735,2020-03-28T20:00:00Z,2001,13749.0,813372,747663,747663,427.0,2208.0,88530.0,19400.0,107930.0
25,20200327,56,105484,534249.0,60091.0,10789.0,11541.0,1792.0,124.0,324.0,,2422.0,9cb63a881630552bbda07f3541446a3e15a95910,2020-03-27T20:00:00Z,1574,11541.0,699824,639733,639733,366.0,2394.0,91968.0,18673.0,110641.0
26,20200326,56,86811,442281.0,60251.0,7617.0,9147.0,1299.0,91.0,258.0,,97.0,27a6775c25f8eb8e8c29df09e1e4c6b8b88ce36f,2020-03-26T20:00:00Z,1208,9147.0,589343,529092,529092,277.0,3711.0,79090.0,17303.0,96393.0
27,20200325,56,69508,363191.0,51235.0,892.0,5436.0,,74.0,167.0,,147.0,4d5391fe72b41d8b327c0ace38ed0dd3809d1d55,2020-03-25T20:00:00Z,931,5436.0,483934,432699,432699,225.0,1345.0,66606.0,12284.0,78890.0
28,20200324,56,57224,296585.0,14433.0,485.0,4091.0,,,,,,59da00d6e682f621a04e8a9fc8cfe102ffc3612d,2020-03-24T20:00:00Z,706,4091.0,368242,353809,353809,197.0,833.0,56425.0,10158.0,66583.0
29,20200323,56,47066,240160.0,14571.0,141.0,3258.0,,,,,,7c60fd4c5eb9475426bff57f4f31816acddbe981,2020-03-23T20:00:00Z,509,3258.0,301797,287226,287226,83.0,760.0,45054.0,10675.0,55729.0
30,20200322,56,36391,195106.0,2842.0,112.0,2498.0,,,,,,de740d24a4af4201124f15b23987e02fe9e80751,2020-03-22T20:00:00Z,426,2498.0,234339,231497,231497,129.0,534.0,37570.0,8956.0,46526.0
31,20200321,56,27435,157536.0,3468.0,,1964.0,,,,,,fda2d9731fff9f561fb05887029b568e916b8dbf,2020-03-21T20:00:00Z,297,1964.0,188439,184971,184971,50.0,1964.0,38566.0,6527.0,45093.0
32,20200320,56,20908,118970.0,3330.0,,,,,,,,455df435e6d9e3758a5088cb18047d8ca4494753,2020-03-20T20:00:00Z,247,,143208,139878,139878,62.0,0.0,30031.0,5774.0,35805.0
33,20200319,56,15134,88939.0,3016.0,,,,,,,,307b3db9808b406ed85884f7410e66caf25b1dc6,2020-03-19T20:00:00Z,185,,107089,104073,104073,43.0,0.0,21771.0,4195.0,25966.0
34,20200318,56,10939,67168.0,2526.0,,,,,,,,6eada9af2c163e98a586d4079ab48454d0ac2209,2020-03-18T20:00:00Z,142,,80633,78107,78107,23.0,0.0,19115.0,2573.0,21688.0
35,20200317,56,8366,48053.0,1687.0,,,,,,,,960e1e045192a42bc499965d7f6d209eab44fe56,2020-03-17T20:00:00Z,119,,58106,56419,56419,22.0,0.0,11949.0,2184.0,14133.0
